id,id_str,keyword,created_at,tweet_text,likes,retweeted,hashtags,clean_text_str,clean_text
1312723565691666432,1312723565691666432,world,Sun Oct 04 11:57:41 +0000 2020,@hobo_world Zahiaaa,1,0,[],zahiaaa,['zahiaaa']
1312722600913707008,1312722600913707008,world,Sun Oct 04 11:53:51 +0000 2020,TERRORIST armenian TERRORIST armenian TERRORIST armenian TERRORIST armenian TERRORIST armenian ermenistan #cnn #abd #ab #world #china,1,0,"['#cnn', '#abd', '#ab', '#world', '#china']",terrorist armenian terrorist armenian terrorist armenian terrorist armenian terrorist armenian ermenistan,"['terrorist', 'armenian', 'terrorist', 'armenian', 'terrorist', 'armenian', 'terrorist', 'armenian', 'terrorist', 'armenian', 'ermenistan']"
1312722279277752321,1312722279277752321,world,Sun Oct 04 11:52:35 +0000 2020,@007WhiteWalker @drsoodan @RSSkmkb @Waqaral97716557 @Abj_92 @CaptainSgk @anonymousrocks5 @lasse28879568… https://t.co/rY1iLURKO6,1,0,[],,[]
1312721776120672259,1312721776120672259,world,Sun Oct 04 11:50:35 +0000 2020,Aizen il a le mugetsu maintenant ? https://t.co/US1EIPZwaQ,7,0,[],aizen il a le mugetsu maintenant ?,"['aizen', 'il', 'le', 'mugetsu', 'maintenant', '?']"
1312713743122358275,1312713743122358275,world,Sun Oct 04 11:18:40 +0000 2020,@PediaSidnaaz @yuvicasm @Shatika13 @my_sidnaaz @Aishxtweets @shreya14562783 Koi na😗😗😗,1,0,[],koi na,"['koi', 'na']"
1312712209814949889,1312712209814949889,world,Sun Oct 04 11:12:34 +0000 2020,@ManUtd @Aeroflot_World Oguñ state 🇳🇬🔴💪,0,0,[],ogu state,"['ogu', 'state']"
1312699196559052801,1312699196559052801,world,Sun Oct 04 10:20:51 +0000 2020,@ManUtd @Aeroflot_World From Nigeria (Kaduna).,1,0,[],from nigeria (kaduna).,"['nigeria', '(', 'kaduna', ')', '.']"
1312686996544946181,1312686996544946181,world,Sun Oct 04 09:32:23 +0000 2020,@ManUtd @Aeroflot_World iran,0,0,[],iran,['iran']
1312406409531715590,1312406409531715590,expect,Sat Oct 03 14:57:26 +0000 2020,@iBeing_Sultan Tu logo se hum kuch expect hi nahi karte tum logo ki aukat hi nahi hai,0,0,[],tu logo se hum kuch expect hi nahi karte tum logo ki aukat hi nahi hai,"['tu', 'logo', 'se', 'hum', 'kuch', 'expect', 'hi', 'nahi', 'karte', 'tum', 'logo', 'ki', 'aukat', 'hi', 'nahi', 'hai']"
1311287459771113472,1311287459771113472,expect,Wed Sep 30 12:51:07 +0000 2020,"รอ Nest Audio 

https://t.co/SvZlfV4Ex6",0,0,[],nest audio,"['nest', 'audio']"
1311220598882873344,1311220598882873344,expect,Wed Sep 30 08:25:26 +0000 2020,OHIO FOR BIDEN !!!!!!https://t.co/zCxClgdf96,0,0,[],ohio for biden !!!!!!,"['ohio', 'biden', '!', '!', '!', '!', '!', '!']"
1311189017010909184,1311189017010909184,expect,Wed Sep 30 06:19:57 +0000 2020,JDKXIRJDHDB I DIDN'T EXPECT THIS FJFJBFHCDBXHFBDHDH https://t.co/NDMxNdkkXF,0,0,[],jdkxirjdhdb i didn't expect this fjfjbfhcdbxhfbdhdh,"['jdkxirjdhdb', ""n't"", 'expect', 'fjfjbfhcdbxhfbdhdh']"
1310918664812744704,1310918664812744704,expect,Tue Sep 29 12:25:40 +0000 2020,"Biden:
https://t.co/bMgQx0zi1m",0,0,[],biden:,"['biden', ':']"
